Date filed,No. of satellites,Cumulative no of satellites,Cumulative without Cinammon
01-01-17,10,10,10
01-01-17,112,122,122
01-01-17,160,282,282
01-01-17,400,682,682
01-01-17,840,1522,1522
01-01-17,1600,3122,3122
01-01-17,2425,5547,5547
16-02-17,12,5559,5559
22-03-17,1280,6839,6839
19-05-17,50,6889,6889
01-06-17,1792,8681,8681
13-06-17,1980,10661,10661
15-06-17,200,10861,10861
06-07-17,24,10885,10885
11-09-17,19,10904,10904
29-09-17,54,10958,10958
29-09-17,54,11012,11012
04-10-17,12,11024,11024
05-10-17,8832,19856,19856
17-10-17,312,20168,20168
04-12-17,175,20343,20343
21-12-17,45,20388,20388
21-12-17,90,20478,20478
28-12-17,72,20550,20550
28-12-17,308,20858,20858
11-01-18,156,21014,21014
18-01-18,82,21096,21096
06-02-18,175,21271,21271
06-02-18,216,21487,21487
08-02-18,80,21567,21567
09-02-18,360,21927,21927
12-02-18,156,22083,22083
14-02-18,64,22147,22147
22-02-18,15,22162,22162
05-03-18,12,22174,22174
09-03-18,20,22194,22194
09-03-18,60,22254,22254
15-03-18,50,22304,22304
04-04-18,208,22512,22512
10-04-18,1061,23573,23573
27-04-18,118,23691,23691
14-05-18,20,23711,23711
04-06-18,28,23739,23739
06-06-18,96,23835,23835
18-07-18,240,24075,24075
01-08-18,128,24203,24203
13-08-18,156,24359,24359
22-08-18,66,24425,24425
22-08-18,215,24640,24640
23-08-18,104,24744,24744
31-08-18,80,24824,24824
11-09-18,132,24956,24956
20-09-18,12,24968,24968
10-10-18,20,24988,24988
10-10-18,34,25022,25022
23-10-18,576,25598,25598
25-10-18,35,25633,25633
29-10-18,36,25669,25669
30-10-18,66,25735,25735
19-11-18,12,25747,25747
22-11-18,50,25797,25797
27-11-18,16,25813,25813
03-12-18,150,25963,25963
14-12-18,1061,27024,27024
17-12-18,300,27324,27324
18-12-18,20,27344,27344
20-12-18,10,27354,27354
07-01-19,96,27450,27450
09-01-19,48,27498,27498
10-01-19,36,27534,27534
10-01-19,7332,34866,34866
12-01-19,120,34986,34986
22-01-19,2520,37506,37506
30-01-19,60,37566,37566
30-01-19,864,38430,38430
30-01-19,864,39294,39294
07-02-19,36,39330,39330
11-02-19,1728,41058,41058
13-02-19,560,41618,41618
24-03-19,372,41990,41990
25-03-19,10,42000,42000
26-03-19,784,42784,42784
26-03-19,1156,43940,43940
